learning_rate,epochs,hidden_layers,activation,optimizer,validation_loss,validation_accuracy,f1_score,precision,recall
0.001,100,"[32, 32]",linear,mini-batch,0.9371627162138949,0.6228070175438597,0.3392676233043206,0.36009070294784584,0.3365961939308627
0.001,100,"[32, 32]",linear,sgd,0.9414567603333344,0.6228070175438597,0.3354620092551127,0.343464392205811,0.33549173005603533
0.001,100,"[32, 32]",linear,batch,2.1324820847108383,0.32456140350877194,0.18110747493636695,0.22031388152077805,0.181807927957193
0.01,100,"[32, 32]",linear,mini-batch,0.9369980732805561,0.6228070175438597,0.33680134680134677,0.3502426278462113,0.33549173005603533
0.01,100,"[32, 32]",linear,sgd,0.943927341402599,0.6228070175438597,0.31786895503709667,0.365374149659864,0.31950948810265023
0.01,100,"[32, 32]",linear,batch,1.07103444502525,0.6052631578947368,0.3364484602618477,0.344896331738437,0.3337267534717523
0.001,100,"[32, 64, 64, 32]",linear,mini-batch,1.0196636512719273,0.631578947368421,0.3484199134199134,0.3460832246849196,0.3519341652905985
0.001,100,"[32, 64, 64, 32]",linear,sgd,0.9466579278373564,0.5964912280701754,0.3113895850737956,0.32003049942813566,0.3128664627378793
0.001,100,"[32, 64, 64, 32]",linear,batch,1.6152395680471712,0.40350877192982454,0.22544818754925136,0.25646034492381536,0.20713209351849346
0.01,100,"[32, 64, 64, 32]",linear,mini-batch,0.9451515196593631,0.6228070175438597,0.33851572972818805,0.34114114114114114,0.3401694594082456
0.01,100,"[32, 64, 64, 32]",linear,sgd,0.9330463862060556,0.6052631578947368,0.3148485730361058,0.3234715821812596,0.3166400476435397
0.01,100,"[32, 64, 64, 32]",linear,batch,0.9939908101432416,0.631578947368421,0.3313145055167527,0.3524425287356322,0.33127419398500313
0.001,200,"[32, 32]",linear,mini-batch,0.9367319899138362,0.631578947368421,0.34286791859825566,0.36330409356725146,0.34036977883652314
0.001,200,"[32, 32]",linear,sgd,0.9318557919060282,0.631578947368421,0.3418656056587091,0.36217964464095637,0.33926531496169565
