learning_rate,epochs,hidden_layers,activation,optimizer,validation_mse,validation_rmse,validation_R-squared
0.001,50,"[10, 20, 30, 20, 10]",sigmoid,batch,[328.94358077],[18.13680183],[-2.83576255]
0.01,50,"[10, 20, 30, 20, 10]",sigmoid,mini-batch,[86.44275771],[9.29745975],[-0.00799624]
0.01,50,"[10, 20, 30, 20, 10]",sigmoid,sgd,[86.84764749],[9.31920852],[-0.0127176]
0.01,50,"[10, 20, 30, 20, 10]",sigmoid,batch,[86.01413016],[9.27438031],[-0.00299808]
0.001,50,"[10, 20, 10]",sigmoid,mini-batch,[98.35329272],[9.91732286],[-0.14688323]
0.001,50,"[10, 20, 10]",sigmoid,sgd,[22.58142867],[4.75199207],[0.73668129]
0.001,50,"[10, 20, 10]",sigmoid,batch,[391.29257743],[19.78111669],[-3.56280499]
0.01,50,"[10, 20, 10]",sigmoid,mini-batch,[86.28402821],[9.28891965],[-0.00614532]
0.01,50,"[10, 20, 10]",sigmoid,sgd,[20.62390276],[4.54135473],[0.75950771]
0.01,50,"[10, 20, 10]",sigmoid,batch,[85.87239666],[9.26673603],[-0.00134534]
0.001,100,"[10, 20, 30, 20, 10]",sigmoid,mini-batch,[86.12590388],[9.28040429],[-0.00430145]
0.001,100,"[10, 20, 30, 20, 10]",sigmoid,sgd,[87.08270771],[9.3318116],[-0.0154586]
0.001,100,"[10, 20, 30, 20, 10]",sigmoid,batch,[207.02205538],[14.38826103],[-1.41405363]
0.01,100,"[10, 20, 30, 20, 10]",sigmoid,mini-batch,[86.8984462],[9.32193361],[-0.01330996]
0.01,100,"[10, 20, 30, 20, 10]",sigmoid,sgd,[86.72079551],[9.31240009],[-0.0112384]
0.01,100,"[10, 20, 30, 20, 10]",sigmoid,batch,[86.69068931],[9.3107835],[-0.01088733]
0.001,100,"[10, 20, 10]",sigmoid,mini-batch,[85.99685164],[9.27344875],[-0.00279659]
0.001,100,"[10, 20, 10]",sigmoid,sgd,[21.27660315],[4.61265684],[0.75189667]
0.001,100,"[10, 20, 10]",sigmoid,batch,[237.65361617],[15.41601817],[-1.77124374]
0.01,100,"[10, 20, 10]",sigmoid,mini-batch,[76.25520359],[8.73242255],[0.11079933]
0.01,100,"[10, 20, 10]",sigmoid,sgd,[19.4132437],[4.40604627],[0.77362503]
0.01,100,"[10, 20, 10]",sigmoid,batch,[86.45677279],[9.29821342],[-0.00815967]
0.001,150,"[10, 20, 30, 20, 10]",sigmoid,mini-batch,[86.3976591],[9.29503411],[-0.00747035]
0.001,150,"[10, 20, 30, 20, 10]",sigmoid,sgd,[86.55838059],[9.30367565],[-0.0093445]
0.001,150,"[10, 20, 30, 20, 10]",sigmoid,batch,[133.86598213],[11.57004676],[-0.56099146]
0.01,150,"[10, 20, 30, 20, 10]",sigmoid,mini-batch,[86.83097975],[9.31831421],[-0.01252324]
0.01,150,"[10, 20, 30, 20, 10]",sigmoid,sgd,[60.83329851],[7.79957041],[0.29063188]
0.01,150,"[10, 20, 30, 20, 10]",sigmoid,batch,[86.69445237],[9.31098557],[-0.01093121]
0.001,150,"[10, 20, 10]",sigmoid,mini-batch,[86.7086492],[9.31174791],[-0.01109676]
0.001,150,"[10, 20, 10]",sigmoid,sgd,[21.49063379],[4.63579915],[0.74940089]
0.001,150,"[10, 20, 10]",sigmoid,batch,[143.52379631],[11.98014175],[-0.67360981]
0.01,150,"[10, 20, 10]",sigmoid,mini-batch,[33.86669081],[5.8195095],[0.60508552]
0.01,150,"[10, 20, 10]",sigmoid,sgd,[18.43965026],[4.29414139],[0.78497796]
0.01,150,"[10, 20, 10]",sigmoid,batch,[86.28723251],[9.28909212],[-0.00618268]
0.001,200,"[10, 20, 30, 20, 10]",sigmoid,mini-batch,[86.70472498],[9.3115372],[-0.011051]
0.001,200,"[10, 20, 30, 20, 10]",sigmoid,sgd,[86.55838059],[9.30367565],[-0.0093445]
0.001,200,"[10, 20, 30, 20, 10]",sigmoid,batch,[101.4691021],[10.07318729],[-0.18321622]
0.01,200,"[10, 20, 30, 20, 10]",sigmoid,mini-batch,[86.66534963],[9.30942263],[-0.01059185]
0.01,200,"[10, 20, 30, 20, 10]",sigmoid,sgd,[20.98171953],[4.5805807],[0.75533527]
0.01,200,"[10, 20, 30, 20, 10]",sigmoid,batch,[86.69446102],[9.31098604],[-0.01093131]
